Website,Status,Archived Block Message[0],Archived Block Message[1],Block Message Screenshot,Website Archives[0],Website Archives[1]
http://abington.wickedlocal.com,Unavailable,,,,,
http://acton.wickedlocal.com,Unavailable,,,,,
http://agcanada.com,Unavailable,,,,,
http://albertafarmexpress.ca,Unavailable,https://archive.fo/ZYS2g,,,,
http://allston.wickedlocal.com,Unavailable,,,,,
https://americanmilitarynews.com,Available,https://archive.fo/CN9zx,,,,
http://arlington.wickedlocal.com,Unavailable,,,,,
http://baycitytribune.com,Available,https://archive.fo/mVrhw,,,,
http://baytownsun.com,Unavailable,,,,,
http://bedford.wickedlocal.com,Unavailable,,,,,
http://bellingham.wickedlocal.com,Unavailable,,,,,
http://belmont.wickedlocal.com,Unavailable,,,,,
http://beverly.wickedlocal.com,Unavailable,,,,,
http://billerica.wickedlocal.com,Unavailable,,,,,
http://blog.chron.com,Unavailable,,,,,
http://bloxcms.com,Unavailable,,,,,
http://bolivarmonews.com,Unavailable,,,,,
http://bourne.wickedlocal.com,Unavailable,,,,,
http://boxford.wickedlocal.com,Unavailable,,,,,
http://braintree.wickedlocal.com,Unavailable,,,,,
http://bransontrilakesnews.com,Unavailable,,,,,
http://brewster.wickedlocal.com,Unavailable,,,,,
http://bridgewater.wickedlocal.com,Unavailable,,,,,
http://brookline.wickedlocal.com,Unavailable,,,,,
http://burlington.wickedlocal.com,Unavailable,,,,,
http://cambridge.wickedlocal.com,Unavailable,,,,,
http://canadiancattlemen.ca,Unavailable,,,,,
http://canton.wickedlocal.com,Unavailable,,,,,
http://carver.wickedlocal.com,Unavailable,,,,,
http://cedarrepublican.com,Unavailable,,,,,
http://chelmsford.wickedlocal.com,Unavailable,,,,,
http://cohasset.wickedlocal.com,Unavailable,,,,,
http://concord.wickedlocal.com,Unavailable,,,,,
http://country-guide.ca,Unavailable,https://archive.fo/1ScjP,,,,
http://dailysentinel.com,Unavailable,,,,,
http://dailytimes.com,Unavailable,,,,,
http://danvers.wickedlocal.com,Unavailable,,,,,
http://dedham.wickedlocal.com,Unavailable,,,,,
http://delrionewsherald.com,Unavailable,,,,,
http://dover.wickedlocal.com,Unavailable,,,,,
http://easton.wickedlocal.com,Unavailable,,,,,
http://falmouth.wickedlocal.com,Unavailable,,,,,
http://fiddleheadfocus.com,Unavailable,https://archive.fo/PafrG,,,,
http://foodincanada.com,Unavailable,https://archive.fo/iFuPs,,,,
http://fortcampbellcourier.com,Unavailable,,,,,
http://georgetown.wickedlocal.com,Unavailable,,,,,
http://gloucester.wickedlocal.com,Unavailable,,,,,
http://grainews.ca,Unavailable,https://archive.fo/7LUnr,,,,
http://hamilton.wickedlocal.com,Unavailable,,,,,
http://hanover.wickedlocal.com,Unavailable,,,,,
http://harrisondaily.com,Unavailable,,,,,
http://herald-zeitung.com,Unavailable,,,,,
http://heralddemocrat.com,Unavailable,,,,,
http://hingham.wickedlocal.com,Unavailable,,,,,
http://holbrook.wickedlocal.com,Unavailable,,,,,
http://hollandsentinel.com,Unavailable,,,,,
http://homenewshere.com,Unavailable,https://archive.is/y8oMO,,,,
http://hopkinton.wickedlocal.com,Unavailable,,,,,
http://hudson.wickedlocal.com,Unavailable,,,,,
http://ipswich.wickedlocal.com,Unavailable,,,,,
http://jcsentinel.com,Unavailable,,,,,
http://katytimes.com,Unavailable,,,,,
http://kdhnews.com,Available,,,,,
http://kingston.wickedlocal.com,Unavailable,,,,,
http://kokomoperspective.com,Unavailable,https://archive.fo/I9cjR,,,,
http://lebulletin.com,Unavailable,,,,,
http://lexington.wickedlocal.com,Unavailable,,,,,
http://lincoln.wickedlocal.com,Unavailable,,,,,
http://littleton.wickedlocal.com,Unavailable,,,,,
http://lufkindailynews.com,Unavailable,,,,,
http://malden.wickedlocal.com,Unavailable,,,,,
http://manitobacooperator.ca,Unavailable,,,,,
http://mansfield.wickedlocal.com,Unavailable,,,,,
http://marblehead.wickedlocal.com,Unavailable,,,,,
http://marion.wickedlocal.com,Unavailable,,,,,
http://marlborough.wickedlocal.com,Unavailable,,,,,
http://marshfield.wickedlocal.com,Unavailable,,,,,
http://maynard.wickedlocal.com,Unavailable,,,,,
http://medfield.wickedlocal.com,Unavailable,,,,,
http://medford.wickedlocal.com,Unavailable,,,,,
http://melrose.wickedlocal.com,Unavailable,,,,,
http://metrowestdailynews.com,Unavailable,,,,,
http://natick.wickedlocal.com,Unavailable,,,,,
http://needham.wickedlocal.com,Unavailable,,,,,
http://newburyport.wickedlocal.com,Unavailable,,,,,
http://newton.wickedlocal.com,Unavailable,,,,,
http://norfolkdailynews.com,Available,,,,,
http://northandover.wickedlocal.com,Unavailable,,,,,
http://northattleborough.wickedlocal.com,Unavailable,,,,,
http://northborough.wickedlocal.com,Unavailable,,,,,
http://norwell.wickedlocal.com,Unavailable,,,,,
http://norwood.wickedlocal.com,Unavailable,,,,,
http://pembroke.wickedlocal.com,Unavailable,,,,,
http://plymouth.wickedlocal.com,Unavailable,,,,,
http://plympton.wickedlocal.com,Unavailable,,,,,
http://producer.com,Unavailable,,,,,
http://provincetown.wickedlocal.com,Unavailable,,,,,
http://randolph.wickedlocal.com,Unavailable,,,,,
http://raynham.wickedlocal.com,Unavailable,,,,,
http://reading.wickedlocal.com,Unavailable,,,,,
http://recordnet.com,Unavailable,,,,,
http://rockland.wickedlocal.com,Unavailable,,,,,
http://roslindale.wickedlocal.com,Unavailable,,,,,
http://salem.wickedlocal.com,Unavailable,,,,,
http://sandwich.wickedlocal.com,Unavailable,,,,,
http://saugus.wickedlocal.com,Unavailable,,,,,
http://scituate.wickedlocal.com,Unavailable,,,,,
http://seguingazette.com,Unavailable,,,,,
http://sharon.wickedlocal.com,Unavailable,,,,,
http://shrewsbury.wickedlocal.com,Unavailable,,,,,
http://somerville.wickedlocal.com,Unavailable,,,,,
http://stoneham.wickedlocal.com,Unavailable,,,,,
http://stoughton.wickedlocal.com,Unavailable,,,,,
http://sudbury.wickedlocal.com,Unavailable,,,,,
http://swampscott.wickedlocal.com,Unavailable,,,,,
http://tbrnews.com,Unavailable,,,,,
http://tewksbury.wickedlocal.com,Unavailable,,,,,
http://thechiefleader.com,Unavailable,,,,,
http://thefacts.com,Unavailable,,,,,
https://themercury.com,Unavailable,,,,,
http://theparisnews.com,Unavailable,,,,,
https://times-journal.com,Unavailable,https://archive.fo/Kn9gc,,,,
http://tva.canoe.ca,Unavailable,,,,,
http://wakefield.wickedlocal.com,Unavailable,,,,,
http://walpole.wickedlocal.com,Unavailable,,,,,
http://waltham.wickedlocal.com,Unavailable,,,,,
http://wareham.wickedlocal.com,Unavailable,,,,,
http://watertown.wickedlocal.com,Unavailable,,,,,
http://wayland.wickedlocal.com,Unavailable,,,,,
http://wellesley.wickedlocal.com,Unavailable,,,,,
http://west-roxbury.wickedlocal.com,Unavailable,,,,,
http://westborough.wickedlocal.com,Unavailable,,,,,
http://westford.wickedlocal.com,Unavailable,,,,,
http://weston.wickedlocal.com,Unavailable,,,,,
http://westwood.wickedlocal.com,Unavailable,,,,,
http://weymouth.wickedlocal.com,Unavailable,,,,,
http://wilmington.wickedlocal.com,Unavailable,,,,,
http://winchester.wickedlocal.com,Unavailable,,,,,
http://wire.lee.net,Unavailable,,,,,
http://woburn.wickedlocal.com,Unavailable,,,,,
http://www.13newsnow.com,Unavailable,,,,,
http://www.abilene-rc.com,Unavailable,,,,,
http://www.ack.net,Unavailable,,,,,
http://www.adelnews.com,Unavailable,,,,,
http://www.advocateanddemocrat.com,Unavailable,,,,,
https://www.advocatepress.com,Available,,,,,
http://www.agrinews-pubs.com,Available,https://archive.fo/gkzWx,,,,
http://www.ahwatukee.com,Unavailable,,,,,
http://www.aimmediatexas.com,Unavailable,https://archive.fo/ZfcyS,,,,
http://www.airthinx.io,Unavailable,https://archive.fo/Sk0Ry,,,,
https://www.aledotimesrecord.com,Available,,,,,
http://www.alliancetimes.com,Unavailable,https://archive.fo/0IOYB,,,,
http://www.alvinsun.net,Unavailable,,,,,
http://www.amestrib.com,Unavailable,,,,,
https://www.apg-wi.com,Unavailable,,,,,
http://www.ashleycountyledger.com,Unavailable,,,,,
http://www.atchisonglobenow.com,Unavailable,,,,,
http://www.auburnjournal.com,Available,https://archive.fo/2zXMw,,,,
http://www.augustagazette.com,Unavailable,,,,,
http://www.auroraadvertiser.net,Unavailable,,,,,
http://www.barnesville-enterprise.com,Unavailable,,,,,
http://www.barnstablepatriot.com,Unavailable,,,,,
https://www.bastropenterprise.com,Available,,,,,
https://www.bcdemocratonline.com,Available,,,,,
https://www.beauregarddailynews.net,Available,,,,,
http://www.belgrade-news.com,Unavailable,,,,,
https://www.bhpioneer.com,Unavailable,https://archive.fo/v0Fjp,,,,
http://www.bigbeargrizzly.net,Unavailable,,,,,
http://www.boonevilledemocrat.com,Unavailable,,,,,
http://www.boonvilledailynews.com,Unavailable,,,,,
http://www.bradfordera.com,Unavailable,,,,,
http://www.brenhambanner.com,Unavailable,,,,,
https://www.buckscountycouriertimes.com,Available,,,,,
http://www.buckslocalnews.com,Unavailable,,,,,
http://www.buffalobulletin.com,Unavailable,,,,,
https://www.burlingtoncountytimes.com,Available,,,,,
http://www.burnettcountysentinel.com,Unavailable,,,,,
http://www.businessnorth.com,Unavailable,,,,,
http://www.butlercountytimesgazette.com,Unavailable,,,,,
http://www.calaverasenterprise.com,Unavailable,,,,,
https://www.cambridgechron.com,Available,,,,,
http://www.camplejeuneglobe.com,Unavailable,,,,,
https://www.cantondailyledger.com,Available,,,,,
https://www.caranddriver.com,Available,,,,,
https://www.carmitimes.com,Available,https://archive.fo/1Ih03,,,,
http://www.carolinacoastonline.com,Unavailable,,,,,
http://www.carthagepress.com,Unavailable,,,,,
http://www.caswellmessenger.com,Unavailable,,,,,
http://www.ccenterdispatch.com,Unavailable,,,,,
http://www.centraljersey.com,Unavailable,https://archive.is/Xrf1G,,,,
http://www.championnewspapers.com,Unavailable,https://archive.is/5K8bZ,,,,
http://www.charlestonexpress.com,Unavailable,https://archive.is/AyeIC,,,,
http://www.cheboygannews.com,Unavailable,,,,,
http://www.chillicothenews.com,Unavailable,,,,,
https://www.chillicothetimesbulletin.com,Available,,,,,
http://www.choteauacantha.com,Unavailable,,,,,
https://www.chronicle-express.com,Available,,,,,
http://www.chroniclejournal.com,Available,,,,,
http://www.chronline.com,Unavailable,,,,,
http://www.cnweekly.com,Unavailable,https://archive.is/jt1JA,,,,
http://www.codyenterprise.com,Unavailable,https://archive.fo/dcZDP,,,,
http://www.collectorsjournal.com,Unavailable,,,,,
http://www.collegiatetimes.com,Unavailable,https://archive.fo/v8862,,,,
https://columbiachronicle.com,Available,https://archive.fo/pArYw,,,,
http://www.columbiatribune.com,Unavailable,,,,,
http://www.communitynewspapergroup.com,Unavailable,,,,,
http://www.coronadonewsca.com,Unavailable,,,,,
http://www.covingtonleader.com,Unavailable,,,,,
http://www.cpioneer.com,Unavailable,,,,,
http://www.creightonnews.com,Unavailable,https://archive.fo/E6Ue2,,,,
https://www.crookstontimes.com,Available,https://archive.is/utVQq,,,,
http://www.ctnewsonline.com,Unavailable,,,,,
https://www.ctpost.com,Available,,,,,
